idx,OPEX,CAPEX,NPV,CF,ciclos,BCR,Ppvinst,C,PinverterBESS,n_ciclos,frac_C,min_spread,alpha,beta,gamma,n_horas_c,n_horas_d
27,6213997.104717037,3150728.023590538,3063269.0811264985,514268.57408823504,512.3315202490917,1.972241671826573,2983.9085383174993,5805.5241499728045,3102.377142846767,2,0.8028645495151016,0.0131951268018933,1.173332317570021,0.9921835039847119,0.18020406359004915,6,5
28,6680039.075657071,3688936.5719745816,2991102.503682489,552838.0706331672,492.3340066144853,1.8108305592474414,3736.834335049277,6426.922613020605,3533.7646309467336,2,0.6211271215745406,0.002500353918612267,4.615546467131572,0.27229984223832376,0.5604920850084188,6,4
29,2782551.72876075,1150972.9884737341,1631578.740287016,230283.1632783173,519.3133736188374,2.41756475314907,1891.4107715793484,536.7179337293336,312.3329161326176,2,0.7580036422434724,0.019640288384345218,2.0503675894263633,0.0794341089240376,0.18292030805827547,6,5
30,1969336.412236037,859650.3461306196,1109686.0661054174,162981.7026872891,436.14909972906395,2.2908574644333433,1259.2323893230684,573.4551544666585,267.7491438385495,2,0.7091752393074393,0.021614632671087763,4.8041038612353075,0.02303624090365879,0.1583819666942618,6,4
31,1716610.0449635268,764628.1077327853,951981.9372307415,142066.14280827437,442.17545894868715,2.2450260820956256,1115.4501746175622,500.0213939448612,165.5360848532052,2,0.6106453400470093,0.008843744880228549,4.840961166450156,0.25978537003256474,0.2745741830481453,6,5
32,6795527.507635043,3703351.1252601016,3092176.3823749414,562395.8593215323,471.7712713628871,1.834967108920239,3187.529223281501,7798.244019417884,3236.3484947002144,2,0.785382258987254,0.01359377036034098,4.6524065640644245,0.27229984223832376,0.5604920850084188,6,5
33,7586393.661457811,4209509.324064537,3376884.3373932736,627847.7097757822,478.05778813382284,1.8022037908524422,3033.7587810442024,10124.010482663267,3769.625941485344,2,0.7472009528365758,0.0015131015348659512,2.128525420151892,0.8903218571800033,0.17254401204070524,6,5
34,3730044.403969293,1609517.475401446,2120526.9285678472,308697.3786098085,483.76054739567525,2.317492329829439,2893.8623964241388,552.8351593172769,210.11925571121037,2,0.6106453400470093,0.0011140504071640404,4.736884157317509,0.30885315830949,0.30949101204281726,6,5
35,3206773.579481167,1351782.3054041418,1854991.274077025,265391.63896483683,453.66502908395296,2.3722559221711657,2248.7644125357997,733.7395542050929,231.4879678293647,2,0.6769877676372393,0.02183146481660222,4.838530811388937,0.03431506925218414,0.0873657372126957,6,6
36,4806272.137484412,2341397.9380961717,2464874.19938824,397765.6695314272,527.6715480219834,2.052736127969972,3666.940371208439,1818.4205598652698,999.8362584325777,2,0.7590609406228402,0.00761902237455486,4.6172063729422606,0.27181860253161577,0.5604920850084188,6,5
37,3960802.5824947753,1757716.852023684,2203085.7304710913,327794.8576445854,473.26589884650963,2.253379193545677,3192.3477690519912,595.0521644594974,208.83810974885688,2,0.7811303834235025,0.019725386616824866,4.543688174076529,0.7054188344787319,0.42980065548549307,6,6
38,5744585.123377951,2931219.9440155914,2813365.1793623595,475420.1764731258,514.062059931067,1.9597932714350401,2983.9085383174993,5031.411761619438,2688.704144925769,2,0.8028645495151016,0.01219819724783687,2.029581566182789,0.2899961478477302,0.19115893029925585,6,5
39,7510335.803797652,4204958.508905204,3305377.294892448,621553.1838292857,435.7249889572455,1.7860665659107848,3033.7587810442024,10124.010482663267,3730.1223376716866,2,0.7472009528365758,0.02801726925485611,2.0745594792178257,0.8903218571800033,0.17254401204070524,6,5
40,6393386.058278997,3396203.973600059,2997182.0846789386,529114.7511624825,507.1964067684183,1.8825094452444953,2254.2653139873664,8336.669530345102,3304.491386032369,2,0.7581197867340174,0.007765557827370278,1.2228543710705948,0.26693219668774093,0.4536672881042118,6,6
41,4891551.077952709,2417518.1743434453,2474032.9036092637,404823.3295810425,540.1549244165393,2.023377168314843,1871.7398272526539,4958.087764016822,2865.804055233295,2,0.634339387301744,0.005874400755862541,4.845180691542876,0.01958894699794772,0.4501010505060049,6,5
42,2311840.4835604527,985719.7686925431,1326120.7148679094,191327.23896790878,435.889908016496,2.345332372330194,1543.5283033579394,506.4525139813494,342.1921227884296,2,0.6950873849916389,0.018871910368010298,1.8133441302587194,0.07395235194383631,0.4327070889872877,5,4
43,3318470.566653969,1416347.463720787,1902123.1029331821,274635.6487954344,486.4640197865492,2.342977730857263,2336.327971550712,715.767061688471,472.68118465221573,2,0.7517270602463164,0.01841652955580071,1.2051357009729864,0.17367985714747902,0.43262385956285515,6,4
44,5061987.529808471,2456485.3438031655,2605502.1860053055,418928.60024523153,463.53670819456636,2.060662622139414,1836.8088882340098,5194.0012893684125,2890.6149236251968,2,0.7590775756253373,0.019930055797671795,4.860882417242913,0.920887033759545,0.5815645116285746,6,4
