t_ventana    t_original   estacion
t512         t8336        Invierno
t513         t8337        Invierno
t514         t8338        Invierno
t515         t8339        Invierno
t516         t8340        Invierno
t517         t8341        Invierno
t518         t8342        Invierno
t519         t8343        Invierno
t520         t8344        Invierno
t521         t8345        Invierno
t522         t8346        Invierno
t523         t8347        Invierno
t524         t8348        Invierno
t525         t8349        Invierno
t526         t8350        Invierno
t527         t8351        Invierno
t528         t8352        Invierno
t529         t8353        Invierno
t530         t8354        Invierno
t531         t8355        Invierno
t532         t8356        Invierno
t533         t8357        Invierno
t534         t8358        Invierno
t535         t8359        Invierno
t536         t8360        Invierno
t537         t8361        Invierno
t538         t8362        Invierno
t539         t8363        Invierno
t540         t8364        Invierno
t541         t8365        Invierno
t542         t8366        Invierno
t543         t8367        Invierno
t544         t8368        Invierno
t545         t8369        Invierno
t546         t8370        Invierno
t547         t8371        Invierno
t548         t8372        Invierno
t549         t8373        Invierno
t550         t8374        Invierno
t551         t8375        Invierno
t552         t8376        Invierno
t553         t8377        Invierno
t554         t8378        Invierno
t555         t8379        Invierno
t556         t8380        Invierno
t557         t8381        Invierno
t558         t8382        Invierno
t559         t8383        Invierno
t560         t8384        Invierno
t561         t8385        Invierno
t562         t8386        Invierno
t563         t8387        Invierno
t564         t8388        Invierno
t565         t8389        Invierno
t566         t8390        Invierno
t567         t8391        Invierno
t568         t8392        Invierno
t569         t8393        Invierno
t570         t8394        Invierno
t571         t8395        Invierno
t572         t8396        Invierno
t573         t8397        Invierno
t574         t8398        Invierno
t575         t8399        Invierno
t576         t8400        Invierno
t577         t8401        Invierno
t578         t8402        Invierno
t579         t8403        Invierno
t580         t8404        Invierno
t581         t8405        Invierno
t582         t8406        Invierno
t583         t8407        Invierno
t584         t8408        Invierno
t585         t8409        Invierno
t586         t8410        Invierno
t587         t8411        Invierno
t588         t8412        Invierno
t589         t8413        Invierno
t590         t8414        Invierno
t591         t8415        Invierno
t592         t8416        Invierno
t593         t8417        Invierno
t594         t8418        Invierno
t595         t8419        Invierno
t596         t8420        Invierno
t597         t8421        Invierno
t598         t8422        Invierno
t599         t8423        Invierno
t600         t8424        Invierno
t601         t8425        Invierno
t602         t8426        Invierno
t603         t8427        Invierno
t604         t8428        Invierno
t605         t8429        Invierno
t606         t8430        Invierno
t607         t8431        Invierno
t608         t8432        Invierno
t609         t8433        Invierno
t610         t8434        Invierno
t611         t8435        Invierno
t612         t8436        Invierno
t613         t8437        Invierno
t614         t8438        Invierno
t615         t8439        Invierno
t616         t8440        Invierno
t617         t8441        Invierno
t618         t8442        Invierno
t619         t8443        Invierno
t620         t8444        Invierno
t621         t8445        Invierno
t622         t8446        Invierno
t623         t8447        Invierno
t624         t8448        Invierno
t625         t8449        Invierno
t626         t8450        Invierno
t627         t8451        Invierno
t628         t8452        Invierno
t629         t8453        Invierno
t630         t8454        Invierno
t631         t8455        Invierno
t632         t8456        Invierno
t633         t8457        Invierno
t634         t8458        Invierno
t635         t8459        Invierno
t636         t8460        Invierno
t637         t8461        Invierno
t638         t8462        Invierno
t639         t8463        Invierno
t640         t8464        Invierno
t641         t8465        Invierno
t642         t8466        Invierno
t643         t8467        Invierno
t644         t8468        Invierno
t645         t8469        Invierno
t646         t8470        Invierno
t647         t8471        Invierno
t648         t8472        Invierno
t649         t8473        Invierno
t650         t8474        Invierno
t651         t8475        Invierno
t652         t8476        Invierno
t653         t8477        Invierno
t654         t8478        Invierno
t655         t8479        Invierno
t656         t8480        Invierno
t657         t8481        Invierno
t658         t8482        Invierno
t659         t8483        Invierno
t660         t8484        Invierno
t661         t8485        Invierno
t662         t8486        Invierno
t663         t8487        Invierno
t664         t8488        Invierno
t665         t8489        Invierno
t666         t8490        Invierno
t667         t8491        Invierno
t668         t8492        Invierno
t669         t8493        Invierno
t670         t8494        Invierno
t671         t8495        Invierno
t672         t8496        Invierno
